"Type","Mode","Entry","Line","Documentation","Country","Entry_correlation","TrueIntercept","RecordIntercept"
"8","Container","1","1","FALSE","3","-0.150020587409641","1","1"
"1","Container","1","2","TRUE","1","-0.150020587409641","0","1"
"4","Container","1","3","FALSE","1","-0.150020587409641","0","1"
"8","Container","1","4","FALSE","3","-0.150020587409641","1","1"
"2","Container","1","5","FALSE","3","-0.150020587409641","0","1"
"1","Container","2","1","FALSE","3","-0.0511131331296839","0","1"
"2","Container","2","2","FALSE","2","-0.0511131331296839","0","1"
"2","Container","2","3","TRUE","1","-0.0511131331296839","0","1"
"8","Container","2","4","FALSE","1","-0.0511131331296839","1","1"
"4","Container","3","1","TRUE","3","-0.326972139526539","0","1"
"5","Container","3","2","TRUE","2","-0.326972139526539","0","1"
"1","Container","3","3","TRUE","3","-0.326972139526539","0","1"
"5","Container","3","4","FALSE","3","-0.326972139526539","1","1"
"2","Container","4","1","FALSE","1","-0.173689409015473","0","0"
"2","Container","4","2","FALSE","2","-0.173689409015473","0","0"
"5","Container","4","3","FALSE","2","-0.173689409015473","0","0"
"2","Line","5","1","FALSE","3","0.00584745574602424","0","0"
"3","Line","5","2","FALSE","2","0.00584745574602424","0","0"
"2","Line","5","3","FALSE","1","0.00584745574602424","1","1"
"8","Line","5","4","FALSE","1","0.00584745574602424","1","1"
"8","Line","5","5","FALSE","3","0.00584745574602424","1","1"
"4","Line","6","1","TRUE","1","0.114529082331839","0","0"
"8","Line","6","2","FALSE","2","0.114529082331839","1","1"
"4","Line","6","3","FALSE","3","0.114529082331839","1","1"
"2","Container","7","1","FALSE","1","-0.366049495006446","0","1"
"4","Container","7","2","FALSE","1","-0.366049495006446","1","1"
"5","Container","7","3","FALSE","1","-0.366049495006446","0","1"
"4","Container","7","4","TRUE","3","-0.366049495006446","0","1"
"7","Container","7","5","FALSE","3","-0.366049495006446","1","1"
"6","Container","8","1","FALSE","1","0.0840092816677196","1","1"
"1","Container","8","2","FALSE","2","0.0840092816677196","0","1"
"6","Container","9","1","TRUE","1","0.288179162083595","1","1"
"2","Container","9","2","FALSE","2","0.288179162083595","0","1"
"4","Container","9","3","TRUE","2","0.288179162083595","0","1"
"8","Container","10","1","TRUE","1","-0.105372687576443","1","1"
"1","Container","10","2","FALSE","3","-0.105372687576443","0","1"
"1","Container","10","3","FALSE","1","-0.105372687576443","0","1"
"8","Line","11","1","FALSE","1","0.133026985869102","0","0"
"5","Line","11","2","FALSE","1","0.133026985869102","1","1"
"8","Line","11","3","FALSE","3","0.133026985869102","1","1"
"3","Line","11","4","FALSE","3","0.133026985869102","0","0"
"2","Container","12","1","FALSE","1","-0.441081228209331","0","1"
"6","Container","12","2","FALSE","3","-0.441081228209331","1","1"
"2","Container","12","3","FALSE","2","-0.441081228209331","0","1"
"2","Container","12","4","FALSE","3","-0.441081228209331","0","1"
"5","Container","13","1","FALSE","2","-0.344106852362459","0","1"
"6","Container","13","2","TRUE","1","-0.344106852362459","1","1"
"4","Container","13","3","FALSE","3","-0.344106852362459","0","1"
"3","Container","14","1","FALSE","2","-0.497331266922614","0","1"
"8","Container","14","2","FALSE","3","-0.497331266922614","1","1"
"4","Line","15","1","FALSE","1","0.0339202064901763","1","1"
"4","Line","15","2","TRUE","1","0.0339202064901763","0","0"
"7","Container","16","1","FALSE","3","0.250928284536948","0","1"
"7","Container","16","2","FALSE","3","0.250928284536948","1","1"
"5","Container","16","3","TRUE","1","0.250928284536948","0","1"
"1","Container","16","4","FALSE","3","0.250928284536948","0","1"
"8","Container","16","5","FALSE","2","0.250928284536948","1","1"
"4","Container","17","1","FALSE","3","0.113644976263395","0","1"
"2","Container","17","2","FALSE","1","0.113644976263395","0","1"
"7","Container","17","3","FALSE","1","0.113644976263395","1","1"
"8","Container","18","1","FALSE","2","0.363449173721791","1","1"
"2","Container","18","2","TRUE","1","0.363449173721791","0","1"
"3","Container","18","3","FALSE","2","0.363449173721791","0","1"
"1","Container","18","4","FALSE","1","0.363449173721791","0","1"
"4","Container","19","1","FALSE","3","-0.364908279437163","0","0"
"6","Container","19","2","FALSE","1","-0.364908279437163","0","0"
"8","Container","20","1","FALSE","2","0.0950193111485494","1","1"
"8","Container","20","2","TRUE","1","0.0950193111485494","1","1"
"7","Container","21","1","FALSE","2","0.135236006399419","1","1"
"3","Container","21","2","FALSE","1","0.135236006399419","0","1"
"2","Container","22","1","FALSE","3","0.165806575964926","1","1"
"2","Container","22","2","FALSE","1","0.165806575964926","0","1"
"1","Container","22","3","FALSE","1","0.165806575964926","0","1"
"8","Container","23","1","FALSE","1","0.118054982204274","1","1"
"5","Container","23","2","FALSE","3","0.118054982204274","1","1"
"8","Line","24","1","FALSE","1","0.188259732341608","1","1"
"7","Line","24","2","TRUE","3","0.188259732341608","1","1"
"4","Line","24","3","FALSE","1","0.188259732341608","0","0"
"3","Line","24","4","TRUE","2","0.188259732341608","0","0"
"6","Container","25","1","FALSE","3","0.279724736049588","0","1"
"7","Container","25","2","FALSE","1","0.279724736049588","1","1"
"4","Container","25","3","TRUE","2","0.279724736049588","0","1"
"3","Container","25","4","FALSE","3","0.279724736049588","1","1"
"5","Container","25","5","FALSE","1","0.279724736049588","1","1"
"5","Container","26","1","TRUE","1","0.324930490125877","0","0"
"5","Container","26","2","TRUE","2","0.324930490125877","0","0"
"4","Container","26","3","FALSE","1","0.324930490125877","0","0"
"6","Line","27","1","TRUE","2","0.0615343754156817","0","0"
"5","Line","27","2","FALSE","1","0.0615343754156817","0","0"
"3","Line","27","3","TRUE","3","0.0615343754156817","0","0"
"6","Line","27","4","FALSE","3","0.0615343754156817","1","1"
"8","Container","28","1","FALSE","2","-0.192303299566402","1","1"
"3","Container","28","2","FALSE","1","-0.192303299566402","0","1"
"2","Container","28","3","FALSE","2","-0.192303299566402","0","1"
"4","Container","28","4","TRUE","2","-0.192303299566402","0","1"
"3","Line","29","1","FALSE","2","-0.138180654342286","0","0"
"7","Line","29","2","FALSE","3","-0.138180654342286","1","1"
"4","Line","29","3","FALSE","3","-0.138180654342286","0","0"
"5","Line","29","4","FALSE","2","-0.138180654342286","0","0"
"7","Line","29","5","FALSE","2","-0.138180654342286","0","0"
"3","Container","30","1","FALSE","2","0.0756138187594212","0","1"
"8","Container","30","2","FALSE","2","0.0756138187594212","1","1"
"7","Container","30","3","FALSE","2","0.0756138187594212","0","1"
"4","Container","30","4","FALSE","3","0.0756138187594212","0","1"
"2","Line","31","1","TRUE","3","-0.0237758113569464","0","0"
"7","Line","31","2","TRUE","2","-0.0237758113569464","1","1"
"6","Container","32","1","TRUE","3","-0.000305732757936504","0","1"
"6","Container","32","2","FALSE","3","-0.000305732757936504","1","1"
"3","Container","32","3","FALSE","3","-0.000305732757936504","0","1"
"5","Container","32","4","FALSE","3","-0.000305732757936504","1","1"
"5","Container","32","5","FALSE","2","-0.000305732757936504","0","1"
"2","Line","33","1","FALSE","2","-0.0699063685916161","0","0"
"6","Line","33","2","FALSE","3","-0.0699063685916161","1","1"
"6","Container","34","1","FALSE","2","0.427525232359497","1","1"
"4","Container","34","2","FALSE","1","0.427525232359497","1","1"
"7","Container","34","3","TRUE","2","0.427525232359497","1","1"
"6","Container","34","4","FALSE","2","0.427525232359497","0","1"
"4","Container","34","5","TRUE","2","0.427525232359497","0","1"
"4","Container","35","1","FALSE","1","0.195223293309693","0","0"
"3","Container","35","2","FALSE","3","0.195223293309693","0","0"
"5","Line","36","1","FALSE","2","-0.17476626307888","0","0"
"5","Line","36","2","TRUE","2","-0.17476626307888","0","0"
"3","Line","36","3","TRUE","1","-0.17476626307888","0","0"
"2","Line","36","4","TRUE","3","-0.17476626307888","0","0"
"6","Line","36","5","FALSE","2","-0.17476626307888","1","1"
"4","Container","37","1","FALSE","1","-0.162078192304094","0","1"
"8","Container","37","2","TRUE","2","-0.162078192304094","1","1"
"2","Container","37","3","FALSE","1","-0.162078192304094","0","1"
"4","Container","37","4","FALSE","3","-0.162078192304094","1","1"
"4","Container","38","1","FALSE","1","-0.299506012940767","0","1"
"7","Container","38","2","FALSE","2","-0.299506012940767","1","1"
"6","Container","38","3","FALSE","1","-0.299506012940767","1","1"
"8","Container","39","1","FALSE","3","0.111086542018143","1","1"
"6","Container","39","2","FALSE","3","0.111086542018143","1","1"
"3","Line","40","1","FALSE","3","0.146850346969403","0","0"
"5","Line","40","2","FALSE","1","0.146850346969403","1","1"
"8","Line","40","3","FALSE","2","0.146850346969403","1","1"
"8","Line","40","4","FALSE","3","0.146850346969403","1","1"
"6","Line","41","1","TRUE","3","0.0111675609988725","0","0"
"5","Line","41","2","FALSE","3","0.0111675609988725","0","0"
"8","Line","41","3","TRUE","2","0.0111675609988725","1","1"
"3","Line","41","4","FALSE","3","0.0111675609988725","1","1"
"3","Line","41","5","FALSE","2","0.0111675609988725","0","0"
"1","Container","42","1","FALSE","1","0.621505637919357","0","1"
"1","Container","42","2","FALSE","1","0.621505637919357","0","1"
"5","Container","42","3","FALSE","3","0.621505637919357","1","1"
"7","Container","42","4","FALSE","3","0.621505637919357","1","1"
"8","Container","43","1","FALSE","2","-0.443842955131985","1","1"
"6","Container","43","2","FALSE","1","-0.443842955131985","1","1"
"6","Container","43","3","FALSE","3","-0.443842955131985","0","1"
"1","Container","43","4","TRUE","1","-0.443842955131985","0","1"
"1","Container","44","1","FALSE","1","-0.305066094600322","0","1"
"3","Container","44","2","FALSE","2","-0.305066094600322","0","1"
"5","Container","44","3","FALSE","2","-0.305066094600322","1","1"
"2","Line","45","1","FALSE","2","0.246486999398036","0","0"
"8","Line","45","2","FALSE","2","0.246486999398036","1","1"
"1","Container","46","1","FALSE","2","0.0344360353549553","0","1"
