"Type","Mode","Entry","Line","Documentation","Country","Entry_correlation","TrueIntercept","RecordIntercept"
3,"Container",1,1,FALSE,2,0,0,0
4,"Container",2,1,FALSE,1,0,0,0
2,"Line",3,1,FALSE,2,0,0,0
2,"Container",4,1,FALSE,1,0,0,0
3,"Line",5,1,FALSE,3,0,0,0
4,"Container",6,1,TRUE,1,0,0,0
2,"Line",7,1,FALSE,3,0,0,0
1,"Container",8,1,FALSE,3,0,0,0
3,"Container",9,1,FALSE,3,0,0,0
4,"Container",10,1,FALSE,3,0,0,0
3,"Container",11,1,FALSE,1,0,0,0
3,"Line",12,1,FALSE,2,0,0,0
2,"Line",13,1,FALSE,1,0,0,0
2,"Container",14,1,FALSE,1,0,1,1
5,"Container",15,1,FALSE,2,0,0,0
3,"Container",16,1,TRUE,3,0,0,0
5,"Container",17,1,FALSE,1,0,1,1
2,"Container",18,1,FALSE,3,0,0,0
1,"Line",19,1,FALSE,1,0,0,0
5,"Container",20,1,FALSE,2,0,0,0
4,"Container",21,1,FALSE,3,0,0,0
3,"Container",22,1,TRUE,1,0,0,0
1,"Container",23,1,FALSE,2,0,0,0
2,"Container",24,1,FALSE,1,0,1,1
4,"Line",25,1,FALSE,3,0,0,0
5,"Container",26,1,FALSE,3,0,1,1
3,"Line",27,1,FALSE,1,0,0,0
5,"Container",28,1,TRUE,2,0,0,0
3,"Container",29,1,FALSE,1,0,0,0
3,"Line",30,1,FALSE,3,0,0,0
4,"Container",31,1,FALSE,3,0,0,0
1,"Container",32,1,FALSE,1,0,0,0
2,"Container",33,1,TRUE,2,0,0,0
2,"Line",34,1,FALSE,2,0,0,0
1,"Container",35,1,FALSE,3,0,0,0
5,"Container",36,1,FALSE,3,0,0,0
5,"Container",37,1,FALSE,3,0,1,1
2,"Container",38,1,FALSE,1,0,0,0
5,"Container",39,1,FALSE,3,0,0,0
2,"Line",40,1,FALSE,3,0,0,0
2,"Line",41,1,TRUE,1,0,0,0
4,"Container",42,1,FALSE,2,0,0,0
5,"Container",43,1,FALSE,2,0,0,0
1,"Container",44,1,FALSE,3,0,0,0
3,"Container",45,1,FALSE,3,0,0,0
3,"Line",46,1,FALSE,2,0,0,0
3,"Container",47,1,FALSE,1,0,0,0
4,"Container",48,1,FALSE,2,0,0,0
4,"Line",49,1,FALSE,1,0,0,0
3,"Container",50,1,FALSE,3,0,0,0
2,"Container",51,1,FALSE,2,0,0,0
5,"Line",52,1,FALSE,2,0,0,0
3,"Line",53,1,TRUE,1,0,0,0
1,"Line",54,1,TRUE,1,0,0,0
2,"Container",55,1,FALSE,3,0,0,0
2,"Container",56,1,FALSE,1,0,0,0
5,"Container",57,1,FALSE,1,0,1,1
2,"Container",58,1,FALSE,3,0,0,0
4,"Container",59,1,TRUE,3,0,0,0
4,"Line",60,1,FALSE,2,0,0,0
2,"Container",61,1,FALSE,3,0,0,0
3,"Container",62,1,FALSE,2,0,0,0
4,"Container",63,1,FALSE,3,0,0,0
3,"Container",64,1,FALSE,1,0,0,0
5,"Container",65,1,FALSE,2,0,0,0
4,"Container",66,1,FALSE,2,0,0,0
2,"Container",67,1,FALSE,3,0,0,0
4,"Container",68,1,TRUE,1,0,0,0
4,"Container",69,1,FALSE,1,0,0,0
3,"Line",70,1,TRUE,1,0,0,0
2,"Container",71,1,FALSE,3,0,0,0
1,"Container",72,1,TRUE,2,0,0,0
2,"Container",73,1,FALSE,2,0,0,0
1,"Line",74,1,TRUE,3,0,0,0
1,"Container",75,1,FALSE,2,0,0,0
1,"Container",76,1,TRUE,3,0,0,0
4,"Container",77,1,TRUE,2,0,0,0
5,"Line",78,1,TRUE,3,0,1,1
4,"Container",79,1,TRUE,1,0,0,0
1,"Container",80,1,TRUE,1,0,0,0
1,"Container",81,1,FALSE,2,0,0,0
4,"Container",82,1,FALSE,1,0,0,0
1,"Container",83,1,FALSE,1,0,0,0
1,"Container",84,1,FALSE,3,0,0,0
3,"Container",85,1,FALSE,2,0,0,0
1,"Container",86,1,FALSE,1,0,0,0
4,"Line",87,1,FALSE,2,0,0,0
2,"Line",88,1,FALSE,3,0,0,0
4,"Container",89,1,FALSE,2,0,0,0
5,"Container",90,1,FALSE,2,0,0,0
2,"Container",91,1,FALSE,2,0,0,0
4,"Line",92,1,FALSE,3,0,0,0
4,"Container",93,1,FALSE,1,0,1,1
5,"Line",94,1,FALSE,1,0,0,0
1,"Line",95,1,FALSE,1,0,0,0
2,"Container",96,1,FALSE,1,0,0,0
3,"Line",97,1,FALSE,2,0,0,0
1,"Container",98,1,TRUE,1,0,0,0
2,"Container",99,1,FALSE,1,0,0,0
3,"Line",100,1,FALSE,1,0,0,0
1,"Line",101,1,FALSE,1,0,0,0
4,"Container",102,1,TRUE,3,0,0,0
3,"Container",103,1,FALSE,1,0,0,0
2,"Line",104,1,FALSE,1,0,0,0
2,"Container",105,1,TRUE,2,0,0,0
5,"Line",106,1,FALSE,2,0,0,0
