"Type","Mode","Entry","Line","Documentation","Country","Entry_correlation","TrueIntercept","RecordIntercept"
"4","Container","1","1","FALSE","1","0","0","0"
"3","Container","1","2","FALSE","1","0","0","0"
"6","Line","2","1","TRUE","3","0","0","0"
"8","Line","2","2","TRUE","1","0","1","1"
"4","Container","3","1","FALSE","2","0","1","1"
"2","Container","3","2","FALSE","1","0","1","1"
"3","Container","4","1","FALSE","1","0","1","1"
"1","Container","4","2","FALSE","2","0","0","1"
"5","Container","5","1","FALSE","2","0","1","1"
"2","Container","5","2","FALSE","2","0","0","1"
"1","Container","6","1","FALSE","3","0","0","0"
"5","Container","6","2","FALSE","1","0","0","0"
"2","Container","7","1","FALSE","1","0","0","0"
"1","Container","7","2","TRUE","3","0","0","0"
"4","Line","8","1","FALSE","1","0","0","0"
"3","Line","8","2","TRUE","2","0","0","0"
"1","Line","9","1","FALSE","1","0","0","0"
"4","Line","9","2","FALSE","2","0","0","0"
"4","Container","10","1","FALSE","3","0","0","1"
"3","Container","10","2","TRUE","3","0","1","1"
"7","Container","11","1","FALSE","2","0","0","1"
"4","Container","11","2","FALSE","1","0","1","1"
"6","Line","12","1","FALSE","1","0","1","1"
"1","Line","12","2","FALSE","1","0","0","0"
"3","Line","13","1","FALSE","2","0","0","0"
"1","Line","13","2","TRUE","3","0","0","0"
"8","Line","14","1","FALSE","1","0","1","1"
"2","Line","14","2","FALSE","1","0","1","1"
"8","Line","15","1","FALSE","3","0","1","1"
"4","Line","15","2","FALSE","2","0","0","0"
"1","Container","16","1","FALSE","1","0","0","0"
"8","Container","16","2","FALSE","2","0","0","0"
"7","Line","17","1","FALSE","1","0","1","1"
"5","Line","17","2","FALSE","3","0","1","1"
"8","Container","18","1","FALSE","3","0","1","1"
"8","Container","18","2","FALSE","2","0","1","1"
"4","Line","19","1","FALSE","1","0","0","0"
"6","Line","19","2","FALSE","1","0","0","0"
"6","Container","20","1","FALSE","2","0","1","1"
"5","Container","20","2","FALSE","1","0","1","1"
"1","Container","21","1","FALSE","3","0","0","0"
"3","Container","21","2","TRUE","2","0","0","0"
"2","Container","22","1","FALSE","3","0","0","0"
"3","Container","22","2","FALSE","2","0","0","0"
"2","Container","23","1","FALSE","2","0","0","1"
"6","Container","23","2","FALSE","3","0","1","1"
"4","Container","24","1","TRUE","3","0","0","1"
"7","Container","24","2","TRUE","1","0","1","1"
"2","Container","25","1","FALSE","1","0","0","0"
"2","Container","25","2","TRUE","1","0","0","0"
"5","Container","26","1","FALSE","2","0","0","0"
